BEDS,RBEDS,OUTV,ADM,SIR,SALESY,SALES12,PRHIP,PRKNEE,TH,TRAUMA,REHAB,HIP,KNEE,FEMUR,SALES_GROWTH,TOTAL_OPS,SALES_PER_BED
386,0,0,12975,4106,2,2,90,101,0,0,0,101,137,100,0,338,0.0051813471502590676
311,0,118065,11309,21049,0,0,70,26,1,0,0,66,40,330,0,436,0.0
175,0,114912,7365,5862,0,1,93,60,0,0,0,97,64,58,-1,219,0.0
324,0,95702,10406,13648,28,29,122,94,0,0,0,152,95,116,-1,363,0.08641975308641975
507,0,108258,22361,15081,0,7,148,97,1,1,0,166,110,236,-7,512,0.0
175,25,26428,5619,5701,6,11,61,48,1,1,1,57,44,40,-5,141,0.03428571428571429
80,80,0,907,0,318,491,0,0,0,0,1,0,0,0,-173,0,3.975
416,0,58206,18274,11847,0,0,130,69,1,0,0,137,83,172,0,392,0.0
211,0,9275,7571,15766,277,513,209,143,1,0,0,207,178,177,-236,562,1.3127962085308056
353,0,322761,15863,13573,261,325,96,66,1,1,0,73,35,144,-64,252,0.7393767705382436
290,0,45625,10716,13296,0,0,76,38,1,0,0,116,68,143,0,327,0.0
220,0,91250,9611,8644,8,11,77,26,0,0,0,59,34,66,-3,159,0.03636363636363636
198,198,0,2739,0,3,12,0,0,0,0,1,0,0,0,-9,0,0.015151515151515152
272,0,480603,12270,11835,2,4,168,151,1,0,0,206,146,58,-2,410,0.007352941176470588
82,82,0,440,0,50,82,0,0,0,0,1,0,0,0,-32,0,0.6097560975609756
151,0,25550,6199,5257,12,16,40,15,0,0,0,39,19,87,-4,145,0.07947019867549669
312,0,66406,13464,12665,95,129,46,39,0,0,0,57,32,83,-34,172,0.30448717948717946
290,0,92768,8662,5388,56,96,55,26,0,0,0,49,40,80,-40,169,0.19310344827586207
242,0,181709,11194,7649,2,13,35,17,0,1,0,35,22,53,-11,110,0.008264462809917356
198,0,137751,10020,6926,1,5,59,23,1,0,0,65,32,64,-4,161,0.005050505050505051
242,0,18876,11195,8547,0,0,96,68,0,0,0,110,77,107,0,294,0.0
375,0,131960,16407,11895,36,36,132,109,1,0,0,130,127,99,0,356,0.096
236,0,23989,12004,7729,13,13,26,29,0,1,0,34,31,45,0,110,0.05508474576271186
284,227,0,3707,0,0,16,8,1,0,0,1,0,0,0,-16,0,0.0
1005,0,504125,34214,27830,0,2,504,271,1,1,0,519,289,303,-2,1111,0.0
710,0,421456,37745,25796,0,0,461,458,1,1,0,437,372,169,0,978,0.0
219,0,47036,7829,9163,6,18,663,463,1,0,0,618,410,51,-12,1079,0.0273972602739726
391,0,0,14594,8852,7,13,82,49,1,1,0,80,47,77,-6,204,0.017902813299232736
290,0,72061,11767,7426,0,0,78,51,1,0,0,101,53,103,0,257,0.0
275,0,118791,8788,6473,1,15,51,30,1,0,0,52,32,68,-14,152,0.0036363636363636364
321,0,66061,17475,9375,0,0,104,93,1,1,0,102,60,109,0,271,0.0
293,0,0,9092,4460,2,3,61,42,0,1,0,75,31,127,-1,233,0.006825938566552901
243,0,44010,10662,8973,3,3,42,36,0,0,0,51,34,81,0,166,0.012345679012345678
154,154,160456,2148,142,77,79,0,0,1,0,1,0,0,0,-2,0,0.5
312,0,83609,16154,10041,93,99,105,66,0,1,0,100,70,137,-6,307,0.2980769230769231
504,0,159632,29739,14337,31,34,181,67,1,1,0,197,81,171,-3,449,0.061507936507936505
275,0,37989,7920,5288,13,13,59,24,0,0,0,52,48,68,0,168,0.04727272727272727
301,0,35297,11707,5798,37,37,56,47,1,0,0,59,64,73,0,196,0.12292358803986711
127,0,36500,5463,3225,0,1,54,23,0,0,0,56,50,69,-1,175,0.0
258,0,66361,12968,6762,0,0,163,38,1,0,0,157,40,141,0,338,0.0
324,0,7836,12499,12082,272,466,96,131,0,0,0,114,130,108,-194,352,0.8395061728395061
390,0,76937,17099,14290,0,0,136,88,0,0,0,123,97,149,0,369,0.0
198,0,13510,7178,5939,3,3,48,33,0,0,0,53,55,68,0,176,0.015151515151515152
200,32,36291,7039,4123,3,5,60,35,0,0,1,50,32,59,-2,141,0.015
359,0,59871,15646,17045,13,19,127,84,0,0,0,117,100,153,-6,370,0.036211699164345405
215,0,71061,8239,6091,0,0,92,51,0,0,0,91,71,100,0,262,0.0
