BEDS,RBEDS,OUTV,ADM,SIR,SALESY,SALES12,PRHIP,PRKNEE,TH,TRAUMA,REHAB,HIP,KNEE,FEMUR
386,0,0,12975,4106,2,2,90,101,0,0,0,101,137,100
311,0,118065,11309,21049,0,0,70,26,1,0,0,66,40,330
175,0,114912,7365,5862,0,1,93,60,0,0,0,97,64,58
324,0,95702,10406,13648,28,29,122,94,0,0,0,152,95,116
507,0,108258,22361,15081,0,7,148,97,1,1,0,166,110,236
175,25,26428,5619,5701,6,11,61,48,1,1,1,57,44,40
80,80,0,907,0,318,491,0,0,0,0,1,0,0,0
416,0,58206,18274,11847,0,0,130,69,1,0,0,137,83,172
211,0,9275,7571,15766,277,513,209,143,1,0,0,207,178,177
353,0,322761,15863,13573,261,325,96,66,1,1,0,73,35,144
290,0,45625,10716,13296,0,0,76,38,1,0,0,116,68,143
220,0,91250,9611,8644,8,11,77,26,0,0,0,59,34,66
198,198,0,2739,0,3,12,0,0,0,0,1,0,0,0
272,0,480603,12270,11835,2,4,168,151,1,0,0,206,146,58
82,82,0,440,0,50,82,0,0,0,0,1,0,0,0
151,0,25550,6199,5257,12,16,40,15,0,0,0,39,19,87
312,0,66406,13464,12665,95,129,46,39,0,0,0,57,32,83
290,0,92768,8662,5388,56,96,55,26,0,0,0,49,40,80
242,0,181709,11194,7649,2,13,35,17,0,1,0,35,22,53
198,0,137751,10020,6926,1,5,59,23,1,0,0,65,32,64
242,0,18876,11195,8547,0,0,96,68,0,0,0,110,77,107
375,0,131960,16407,11895,36,36,132,109,1,0,0,130,127,99
236,0,23989,12004,7729,13,13,26,29,0,1,0,34,31,45
284,227,0,3707,0,0,16,8,1,0,0,1,0,0,0
1005,0,504125,34214,27830,0,2,504,271,1,1,0,519,289,303
710,0,421456,37745,25796,0,0,461,458,1,1,0,437,372,169
219,0,47036,7829,9163,6,18,663,463,1,0,0,618,410,51
391,0,0,14594,8852,7,13,82,49,1,1,0,80,47,77
290,0,72061,11767,7426,0,0,78,51,1,0,0,101,53,103
275,0,118791,8788,6473,1,15,51,30,1,0,0,52,32,68
321,0,66061,17475,9375,0,0,104,93,1,1,0,102,60,109
293,0,0,9092,4460,2,3,61,42,0,1,0,75,31,127
243,0,44010,10662,8973,3,3,42,36,0,0,0,51,34,81
154,154,160456,2148,142,77,79,0,0,1,0,1,0,0,0
312,0,83609,16154,10041,93,99,105,66,0,1,0,100,70,137
504,0,159632,29739,14337,31,34,181,67,1,1,0,197,81,171
275,0,37989,7920,5288,13,13,59,24,0,0,0,52,48,68
301,0,35297,11707,5798,37,37,56,47,1,0,0,59,64,73
127,0,36500,5463,3225,0,1,54,23,0,0,0,56,50,69
258,0,66361,12968,6762,0,0,163,38,1,0,0,157,40,141
324,0,7836,12499,12082,272,466,96,131,0,0,0,114,130,108
390,0,76937,17099,14290,0,0,136,88,0,0,0,123,97,149
198,0,13510,7178,5939,3,3,48,33,0,0,0,53,55,68
200,32,36291,7039,4123,3,5,60,35,0,0,1,50,32,59
359,0,59871,15646,17045,13,19,127,84,0,0,0,117,100,153
215,0,71061,8239,6091,0,0,92,51,0,0,0,91,71,100
719,17,83109,30503,18253,1,2,229,126,1,1,1,257,194,232
247,0,10792,11049,9723,0,0,113,91,1,0,0,96,100,68
54,20,1261,1021,0,0,0,86,91,1,0,1,102,119,106
238,0,32259,7520,4823,8,8,65,31,1,0,0,86,47,82
218,0,76730,7609,5116,4,4,39,27,0,1,0,41,29,70
102,102,41231,1031,0,27,45,0,0,0,0,1,0,0,0
292,27,90158,9913,5703,7,7,57,35,0,0,1,68,41,75
302,0,61309,12689,6988,13,13,60,50,0,1,0,48,36,97
229,0,56579,11484,9015,6,6,144,105,0,1,0,144,127,102
92,0,32764,2395,1616,7,8,10,4,0,1,0,12,0,19
397,0,304879,17767,10175,27,46,164,109,1,0,0,207,108,88
114,0,56257,6050,4431,62,69,66,83,0,0,0,68,69,42
130,0,59926,6310,4452,4,4,58,41,0,1,0,40,41,64
100,0,41365,5301,4588,76,144,56,23,0,1,0,72,26,63
150,0,44236,5141,6424,25,26,59,55,0,0,0,56,50,53
200,0,55300,7542,6023,2,2,64,93,1,0,0,87,87,63
598,36,87946,23898,20865,184,395,222,138,1,1,1,213,134,152
80,80,7279,850,0,7,10,0,0,0,0,1,0,0,0
122,0,36938,4903,4392,6,6,63,41,0,0,0,40,50,36
250,12,107297,9203,5503,1,1,66,46,1,0,1,91,47,62
296,0,104494,4385,1328,90,144,19,14,1,0,0,18,13,9
136,0,86152,6233,7828,115,134,47,42,1,0,0,59,44,104
96,0,28212,3425,7542,73,123,69,83,0,0,0,85,79,57
382,17,209296,14902,10456,97,99,162,113,1,1,1,169,109,150
64,0,22115,2382,1623,57,83,24,11,0,0,0,31,16,30
236,25,263189,7891,6748,3,3,66,56,1,0,1,65,70,52
492,40,48373,21329,11738,1,1,163,142,1,1,1,174,143,143
188,0,58594,8555,4897,48,78,97,58,0,0,0,107,62,83
77,0,9269,2629,2203,69,119,52,40,0,0,0,45,42,32
181,0,110788,8069,8887,63,65,40,43,1,0,0,46,47,79
276,0,12012,5849,4157,46,93,81,31,1,0,0,52,29,63
231,0,65864,8669,6560,0,1,75,53,0,0,0,67,64,98
338,0,124654,13688,11650,35,35,98,104,1,1,0,111,127,137
553,9,211514,20688,13037,96,172,148,104,1,1,1,183,113,185
155,10,53398,7530,6426,1,1,38,24,1,0,1,54,39,57
850,0,109036,34021,35727,46,64,374,321,1,1,0,393,307,276
124,0,198111,4647,3041,2,2,34,37,0,0,0,46,33,43
308,14,136667,11706,11303,151,165,140,95,0,0,1,123,136,102
213,0,78936,9283,7581,0,10,91,67,0,0,0,94,71,69
140,0,19574,7489,10148,0,0,98,44,0,0,0,69,76,113
226,0,280855,9863,11447,0,0,124,98,1,1,0,161,90,154
786,12,700744,30386,17257,1,1,129,97,1,1,1,159,51,243
489,12,114299,17301,14390,0,0,176,205,1,0,1,198,168,236
391,0,23174,14270,9726,3,9,89,57,1,0,0,129,92,170
475,13,63656,17424,10940,0,0,154,112,1,0,1,147,124,137
306,0,105316,12830,7119,61,61,96,81,1,0,0,108,58,91
322,0,16044,11664,9457,75,94,247,144,1,0,0,244,127,104
168,0,117386,6280,5460,16,22,75,35,0,0,0,51,34,52
406,14,135167,17067,10177,0,0,158,128,1,1,1,173,96,163
176,0,120476,7932,9922,0,0,98,64,1,0,0,128,83,82
320,18,48556,11935,11185,118,166,126,47,1,0,1,145,80,127
190,27,28007,5099,6950,36,48,49,24,1,0,1,47,16,56
282,0,74566,10613,7040,14,22,49,14,1,0,0,73,23,48
705,0,12190,24467,14013,65,65,162,48,1,0,0,200,50,123
369,0,68171,13784,13258,6,8,154,60,1,0,0,152,62,126
316,0,90654,9770,6630,0,0,154,113,1,0,0,136,96,40
78,78,0,925,0,32,40,0,0,1,0,1,0,0,0
303,0,45783,14712,7884,0,41,65,44,0,0,0,63,60,74
396,0,145662,14626,9132,0,15,97,31,1,0,0,104,39,90
298,0,85722,10086,7455,1,1,43,14,0,0,0,40,17,82
201,0,53399,7144,5008,8,30,41,42,0,0,0,51,50,68
518,0,249535,16202,6246,12,18,22,8,1,1,0,18,5,91
402,0,287866,13392,7188,63,63,53,16,0,0,0,64,30,57
270,0,38371,9692,10354,15,17,60,36,0,0,0,63,33,98
421,0,61638,25009,14477,43,84,206,169,0,0,0,216,167,153
546,0,23585,20540,9391,0,2,69,47,1,1,0,69,32,88
530,0,603278,24734,16684,18,48,196,197,1,1,0,239,158,198
520,0,196639,16999,11047,18,26,103,32,1,0,0,102,33,140
370,0,89142,14410,7503,1,1,107,50,1,0,0,110,75,105
296,0,92224,15764,7653,119,120,76,48,0,0,0,83,68,117
476,0,70985,17373,14355,14,14,122,83,0,0,0,131,77,114
240,0,111129,11926,7900,92,97,73,18,0,0,0,75,24,88
218,0,15900,8016,5551,0,1,37,10,0,0,0,65,18,84
449,0,190137,18929,13853,40,40,114,57,1,0,0,108,71,93
466,0,166775,19269,9384,6,6,110,80,1,1,0,134,75,142
324,0,42405,10255,10158,71,74,78,40,0,0,0,76,44,81
296,0,72875,11049,7709,78,79,83,52,0,0,0,77,60,86
602,0,293116,20985,22374,52,54,205,95,1,0,0,183,99,181
72,72,8333,746,0,47,47,0,0,0,0,1,0,0,0
523,0,0,21416,17498,367,845,182,118,1,1,0,168,116,173
246,0,38690,15153,6363,0,0,185,184,1,0,0,181,176,181
369,0,69337,16000,7486,0,0,107,98,1,0,0,116,112,120
236,0,6360,8220,7366,0,0,116,92,0,0,0,129,88,181
339,0,108864,12676,8353,32,36,93,83,1,0,0,86,80,92
325,0,25970,10206,3081,0,0,126,58,1,1,0,119,54,168
413,0,22525,14056,9305,288,362,110,48,1,0,0,128,61,108
344,0,118376,13484,9387,23,28,76,76,0,0,0,75,85,67
388,0,39750,13958,12106,0,1,60,26,1,0,0,58,51,80
86,86,0,977,0,50,58,0,0,0,0,1,0,0,0
166,0,45797,4879,5871,2,2,50,30,0,0,0,47,30,49
345,0,77965,12315,7325,0,2,113,32,0,0,0,95,41,134
330,0,19345,11328,11385,42,42,121,60,0,0,0,139,53,139
499,0,376878,19053,16775,0,0,179,105,0,0,0,194,110,252
416,0,1906,19412,21082,153,189,138,140,1,0,0,144,132,130
182,0,134991,7443,5214,54,55,59,24,1,0,0,65,24,58
381,0,116622,17039,10864,67,84,199,150,1,1,0,193,114,102
443,0,78421,23244,13585,65,71,54,72,1,0,0,92,83,102
220,26,0,5954,9500,818,1885,793,617,1,0,1,768,590,146
493,0,44542,12345,8910,62,62,80,47,1,0,0,65,49,52
962,28,721546,37662,23860,0,0,69,155,1,0,1,107,219,109
788,32,209145,22316,7772,26,29,108,49,1,1,1,97,44,138
726,0,58263,26029,20128,49,49,132,76,1,0,0,150,77,104
1048,0,181245,37126,22203,20,24,80,0,1,1,0,75,0,179
565,0,0,18653,13468,11,11,62,19,1,0,0,67,24,37
192,0,0,6333,6314,0,1,1421,840,1,0,0,1373,727,149
634,0,133578,28164,15022,0,0,178,68,1,0,0,173,77,154
788,0,0,26215,2363,180,339,126,45,1,0,0,133,48,237
1071,36,284564,39630,28659,58,62,245,68,1,0,1,233,70,191
1314,41,0,41493,22314,0,7,239,155,1,0,1,232,119,212
212,0,9275,7803,10523,108,193,102,284,0,0,0,0,0,0
431,48,0,19568,11924,4,4,101,91,1,1,1,106,83,157
430,0,0,15544,4906,60,96,21,12,1,0,0,25,12,22
1248,0,0,24057,21100,1000,1512,268,157,1,0,0,265,143,309
378,25,186630,12425,2695,6,8,11,3,1,0,1,15,3,22
164,0,0,5819,4127,28,42,47,45,0,0,0,83,52,65
259,0,48561,11287,5836,169,253,79,36,0,0,0,71,46,82
294,0,0,8511,6421,0,1,53,30,0,0,0,39,22,84
638,18,151612,20019,17750,80,82,55,26,1,1,1,45,31,54
301,0,6435,11374,12420,0,0,113,51,0,0,0,124,61,121
150,150,13642,1397,0,0,9,0,0,1,0,1,0,0,0
273,0,0,12342,8324,19,21,42,13,0,0,0,47,18,57
281,0,25440,10984,5406,176,269,106,49,0,0,0,112,51,108
311,0,0,11266,6339,254,334,44,21,1,0,0,53,37,110
370,0,25175,14302,8945,2,2,47,32,0,0,0,68,37,116
274,15,0,9596,5985,40,49,64,13,0,0,1,65,25,61
375,0,27825,17326,9134,72,83,73,35,1,1,0,58,27,149
669,0,111300,34792,22797,1,4,281,166,1,1,0,302,160,238
829,0,13250,29832,25346,134,142,136,62,1,0,0,168,53,125
235,0,14840,7869,5289,5,20,53,30,0,0,0,53,35,89
354,18,0,9873,8767,0,4,29,28,1,0,1,37,36,42
532,0,91254,19570,10644,37,37,88,36,1,0,0,75,32,138
705,0,76924,22408,10641,20,20,125,60,1,0,0,129,48,173
190,0,0,5528,1907,1,1,46,19,0,0,0,42,6,84
487,0,99875,22348,12430,34,85,116,46,1,1,0,109,48,191
459,0,119547,17589,7199,18,72,93,44,1,0,0,80,26,142
358,0,20785,15940,6470,6,9,153,71,1,0,0,167,69,315
302,0,10600,12952,5845,32,67,43,29,1,0,0,49,37,57
244,0,7155,7037,8237,21,23,50,3,0,0,0,39,0,89
295,25,34715,8920,4071,36,36,45,3,1,1,1,28,3,118
581,0,72141,26543,16754,6,6,154,63,1,1,0,190,100,145
265,22,0,8192,6276,4,7,42,26,1,0,1,47,27,79
186,15,230318,5686,3213,0,4,34,3,0,0,1,40,6,73
387,0,7950,15470,7103,3,3,117,73,1,1,0,129,70,97
429,0,68025,15003,7904,0,0,114,57,1,1,0,109,36,139
305,0,36254,9283,5354,3,3,68,9,0,0,0,58,4,93
272,0,40303,6109,2909,0,3,45,10,1,0,0,57,9,72
306,0,13250,11638,4499,0,0,134,88,1,0,0,149,88,177
489,0,14310,18386,2535,55,55,48,13,1,0,0,58,20,79
223,0,0,7302,7514,43,76,56,10,0,0,0,53,23,55
